,Intersective,,,Subsective,,
Adjectives,màu đỏ ,red,color,ngọt,sweet,taste
,màu vàng,yellow,color,đắng,bitter,taste
,hình tròn,round,shape,đẹp,beautiful,value
,hình vuông,square,shape,xấu,ugly,value
,dơ,dirty,appearance,lớn,big,size
,sạch,clean,appearance,nhỏ,small,size
,nhựa,plastic,material,cao,tall,height
,gỗ,wooden,material,thấp,short,height
Nouns,cái ly,cup,furniture,cái ghế,chair,furniture
,cái bàn,table,furniture,cái xe,car,furniture
,cái quạt,fan,furniture,trái chuối,banana,food
,trái xoài,mango,food,xôi,sticky rice,food
,cục kẹo,candy,food,trái ớt,pepper,food